ProductRxCUI,IngredientRxCUI,RxTTY,PreferredName,BrandName,GenericName,DosageForm,Route,Strength
1655728,327361,SBD,0.8 ML adalimumab 50 MG/ML Auto-Injector [Humira],Humira,adalimumab,Auto-Injector,,0.8 ML
1726846,327361,SBD,0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira],Humira,adalimumab,Prefilled Syringe,,0.4 ML
1855524,327361,SBD,0.8 ML adalimumab 100 MG/ML Prefilled Syringe [Humira],Humira,adalimumab,Prefilled Syringe,,0.8 ML
1872980,327361,SBD,0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira],Humira,adalimumab,Auto-Injector,,0.4 ML
1921010,327361,SBD,0.1 ML adalimumab 100 MG/ML Prefilled Syringe [Humira],Humira,adalimumab,Prefilled Syringe,,0.1 ML
1921017,327361,SBD,0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira],Humira,adalimumab,Prefilled Syringe,,0.2 ML
1921240,327361,SBD,0.8 ML adalimumab 100 MG/ML Auto-Injector [Humira],Humira,adalimumab,Auto-Injector,,0.8 ML
2627717,327361,SBD,0.4 ML adalimumab-atto 50 MG/ML Prefilled Syringe [Amjevita],Amjevita,adalimumab; adalimumab-atto,Prefilled Syringe,,0.4 ML
2627722,327361,SBD,0.8 ML adalimumab-atto 50 MG/ML Auto-Injector [Amjevita],Amjevita,adalimumab; adalimumab-atto,Auto-Injector,,0.8 ML
2627725,327361,SBD,0.8 ML adalimumab-atto 50 MG/ML Prefilled Syringe [Amjevita],Amjevita,adalimumab; adalimumab-atto,Prefilled Syringe,,0.8 ML
2634479,327361,SBD,0.2 ML adalimumab-atto 50 MG/ML Prefilled Syringe [Amjevita],Amjevita,adalimumab; adalimumab-atto,Prefilled Syringe,,0.2 ML
2639657,327361,SBD,0.4 ML adalimumab-aaty 100 MG/ML Auto-Injector [Yuflyma],Yuflyma,adalimumab; adalimumab-aaty,Auto-Injector,,0.4 ML
2639662,327361,SBD,0.4 ML adalimumab-aaty 100 MG/ML Prefilled Syringe [Yuflyma],Yuflyma,adalimumab; adalimumab-aaty,Prefilled Syringe,,0.4 ML
2640300,327361,SBD,0.8 ML adalimumab-bwwd 50 MG/ML Auto-Injector [Hadlima],Hadlima,adalimumab; adalimumab-bwwd,Auto-Injector,,0.8 ML
2640305,327361,SBD,0.8 ML adalimumab-bwwd 50 MG/ML Prefilled Syringe [Hadlima],Hadlima,adalimumab; adalimumab-bwwd,Prefilled Syringe,,0.8 ML
2640395,327361,SBD,0.8 ML adalimumab-aqvh 50 MG/ML Prefilled Syringe [Yusimry],Yusimry,adalimumab; adalimumab-aqvh,Prefilled Syringe,,0.8 ML
2640400,327361,SBD,0.8 ML adalimumab-aqvh 50 MG/ML Auto-Injector [Yusimry],Yusimry,adalimumab; adalimumab-aqvh,Auto-Injector,,0.8 ML
2640410,327361,SBD,0.8 ML adalimumab-fkjp 50 MG/ML Auto-Injector [Hulio],Hulio,adalimumab; adalimumab-fkjp,Auto-Injector,,0.8 ML
2640415,327361,SBD,0.4 ML adalimumab-fkjp 50 MG/ML Prefilled Syringe [Hulio],Hulio,adalimumab; adalimumab-fkjp,Prefilled Syringe,,0.4 ML
2640418,327361,SBD,0.8 ML adalimumab-fkjp 50 MG/ML Prefilled Syringe [Hulio],Hulio,adalimumab; adalimumab-fkjp,Prefilled Syringe,,0.8 ML
2640422,327361,SBD,0.8 ML adalimumab-bwwd 50 MG/ML Injection [Hadlima],Hadlima,adalimumab; adalimumab-bwwd,Injection,,0.8 ML
2640428,327361,SBD,0.4 ML adalimumab-bwwd 100 MG/ML Prefilled Syringe [Hadlima],Hadlima,adalimumab; adalimumab-bwwd,Prefilled Syringe,,0.4 ML
2640432,327361,SBD,0.4 ML adalimumab-bwwd 100 MG/ML Auto-Injector [Hadlima],Hadlima,adalimumab; adalimumab-bwwd,Auto-Injector,,0.4 ML
2640857,327361,SBD,0.8 ML adalimumab-aacf 50 MG/ML Prefilled Syringe [Idacio],Idacio,adalimumab; adalimumab-aacf,Prefilled Syringe,,0.8 ML
2640862,327361,SBD,0.8 ML adalimumab-aacf 50 MG/ML Auto-Injector [Idacio],Idacio,adalimumab; adalimumab-aacf,Auto-Injector,,0.8 ML
2640889,327361,SBD,0.8 ML adalimumab-adbm 50 MG/ML Prefilled Syringe [Cyltezo],Cyltezo,adalimumab; adalimumab-adbm,Prefilled Syringe,,0.8 ML
2640892,327361,SBD,0.2 ML adalimumab-adbm 50 MG/ML Prefilled Syringe [Cyltezo],Cyltezo,adalimumab; adalimumab-adbm,Prefilled Syringe,,0.2 ML
2640894,327361,SBD,0.4 ML adalimumab-adbm 50 MG/ML Prefilled Syringe [Cyltezo],Cyltezo,adalimumab; adalimumab-adbm,Prefilled Syringe,,0.4 ML
2640898,327361,SBD,0.8 ML adalimumab-adbm 50 MG/ML Auto-Injector [Cyltezo],Cyltezo,adalimumab; adalimumab-adbm,Auto-Injector,,0.8 ML
2641650,327361,SBD,0.1 ML adalimumab-adaz 100 MG/ML Prefilled Syringe [Hyrimoz],Hyrimoz,adalimumab; adalimumab-adaz,Prefilled Syringe,,0.1 ML
2641654,327361,SBD,0.2 ML adalimumab-adaz 100 MG/ML Prefilled Syringe [Hyrimoz],Hyrimoz,adalimumab; adalimumab-adaz,Prefilled Syringe,,0.2 ML
2641658,327361,SBD,0.4 ML adalimumab-adaz 100 MG/ML Auto-Injector [Hyrimoz],Hyrimoz,adalimumab; adalimumab-adaz,Auto-Injector,,0.4 ML
2641661,327361,SBD,0.4 ML adalimumab-adaz 100 MG/ML Prefilled Syringe [Hyrimoz],Hyrimoz,adalimumab; adalimumab-adaz,Prefilled Syringe,,0.4 ML
2641663,327361,SBD,0.8 ML adalimumab-adaz 100 MG/ML Auto-Injector [Hyrimoz],Hyrimoz,adalimumab; adalimumab-adaz,Auto-Injector,,0.8 ML
2641667,327361,SBD,0.8 ML adalimumab-adaz 100 MG/ML Prefilled Syringe [Hyrimoz],Hyrimoz,adalimumab; adalimumab-adaz,Prefilled Syringe,,0.8 ML
2663904,327361,SBD,0.2 ML adalimumab-atto 100 MG/ML Prefilled Syringe [Amjevita],Amjevita,adalimumab; adalimumab-atto,Prefilled Syringe,,0.2 ML
2663907,327361,SBD,0.4 ML adalimumab-atto 100 MG/ML Prefilled Syringe [Amjevita],Amjevita,adalimumab; adalimumab-atto,Prefilled Syringe,,0.4 ML
2663910,327361,SBD,0.4 ML adalimumab-atto 100 MG/ML Auto-Injector [Amjevita],Amjevita,adalimumab; adalimumab-atto,Auto-Injector,,0.4 ML
2663913,327361,SBD,0.8 ML adalimumab-atto 100 MG/ML Prefilled Syringe [Amjevita],Amjevita,adalimumab; adalimumab-atto,Prefilled Syringe,,0.8 ML
2663915,327361,SBD,0.8 ML adalimumab-atto 100 MG/ML Auto-Injector [Amjevita],Amjevita,adalimumab; adalimumab-atto,Auto-Injector,,0.8 ML
2665422,327361,SBD,0.8 ML adalimumab-adaz 50 MG/ML Auto-Injector [Hyrimoz],Hyrimoz,adalimumab; adalimumab-adaz,Auto-Injector,,0.8 ML
2665426,327361,SBD,0.8 ML adalimumab-adaz 50 MG/ML Prefilled Syringe [Hyrimoz],Hyrimoz,adalimumab; adalimumab-adaz,Prefilled Syringe,,0.8 ML
2668071,327361,SBD,0.8 ML adalimumab-afzb 50 MG/ML Auto-Injector [Abrilada],Abrilada,adalimumab; adalimumab-afzb,Auto-Injector,,0.8 ML
2668078,327361,SBD,0.8 ML adalimumab-afzb 50 MG/ML Prefilled Syringe [Abrilada],Abrilada,adalimumab; adalimumab-afzb,Prefilled Syringe,,0.8 ML
2668096,327361,SBD,0.4 ML adalimumab-afzb 50 MG/ML Prefilled Syringe [Abrilada],Abrilada,adalimumab; adalimumab-afzb,Prefilled Syringe,,0.4 ML
2668484,327361,SBD,0.2 ML adalimumab-aaty 100 MG/ML Prefilled Syringe [Yuflyma],Yuflyma,adalimumab; adalimumab-aaty,Prefilled Syringe,,0.2 ML
2668486,327361,SBD,0.8 ML adalimumab-aaty 100 MG/ML Prefilled Syringe [Yuflyma],Yuflyma,adalimumab; adalimumab-aaty,Prefilled Syringe,,0.8 ML
2668488,327361,SBD,0.8 ML adalimumab-aaty 100 MG/ML Auto-Injector [Yuflyma],Yuflyma,adalimumab; adalimumab-aaty,Auto-Injector,,0.8 ML
2677787,327361,SBD,0.4 ML adalimumab-ryvk 100 MG/ML Auto-Injector [Simlandi],Simlandi,adalimumab; adalimumab-ryvk,Auto-Injector,,0.4 ML
2680746,327361,SBD,0.4 ML adalimumab-adbm 100 MG/ML Prefilled Syringe [Cyltezo],Cyltezo,adalimumab; adalimumab-adbm,Prefilled Syringe,,0.4 ML
2680750,327361,SBD,0.4 ML adalimumab-adbm 100 MG/ML Auto-Injector [Cyltezo],Cyltezo,adalimumab; adalimumab-adbm,Auto-Injector,,0.4 ML
2688823,327361,SBD,0.2 ML adalimumab-ryvk 100 MG/ML Prefilled Syringe [Simlandi],Simlandi,adalimumab; adalimumab-ryvk,Prefilled Syringe,,0.2 ML
2688827,327361,SBD,0.4 ML adalimumab-ryvk 100 MG/ML Prefilled Syringe [Simlandi],Simlandi,adalimumab; adalimumab-ryvk,Prefilled Syringe,,0.4 ML
2688829,327361,SBD,0.8 ML adalimumab-ryvk 100 MG/ML Prefilled Syringe [Simlandi],Simlandi,adalimumab; adalimumab-ryvk,Prefilled Syringe,,0.8 ML
2699319,327361,SBD,0.8 ML adalimumab-aacf 50 MG/ML Injection [Idacio],Idacio,adalimumab; adalimumab-aacf,Injection,,0.8 ML
2706645,327361,SBD,0.8 ML adalimumab-ryvk 100 MG/ML Auto-Injector [Simlandi],Simlandi,adalimumab; adalimumab-ryvk,Auto-Injector,,0.8 ML
727705,327361,SBD,0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Humira],Humira,adalimumab,Prefilled Syringe,,0.8 ML
1655726,327361,SCD,0.8 ML adalimumab 50 MG/ML Auto-Injector,,0.8 ML adalimumab 50 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
1726844,327361,SCD,0.4 ML adalimumab 100 MG/ML Prefilled Syringe,,0.4 ML adalimumab 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.4 ML
1855523,327361,SCD,0.8 ML adalimumab 100 MG/ML Prefilled Syringe,,0.8 ML adalimumab 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
1872979,327361,SCD,0.4 ML adalimumab 100 MG/ML Auto-Injector,,0.4 ML adalimumab 100 MG/ML Auto-Injector,Auto-Injector,,0.4 ML
1921009,327361,SCD,0.1 ML adalimumab 100 MG/ML Prefilled Syringe,,0.1 ML adalimumab 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.1 ML
1921016,327361,SCD,0.2 ML adalimumab 100 MG/ML Prefilled Syringe,,0.2 ML adalimumab 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.2 ML
1921238,327361,SCD,0.8 ML adalimumab 100 MG/ML Auto-Injector,,0.8 ML adalimumab 100 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
2627711,327361,SCD,0.4 ML adalimumab-atto 50 MG/ML Prefilled Syringe,,0.4 ML adalimumab-atto 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.4 ML
2627719,327361,SCD,0.8 ML adalimumab-atto 50 MG/ML Auto-Injector,,0.8 ML adalimumab-atto 50 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
2627724,327361,SCD,0.8 ML adalimumab-atto 50 MG/ML Prefilled Syringe,,0.8 ML adalimumab-atto 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
2634478,327361,SCD,0.2 ML adalimumab-atto 50 MG/ML Prefilled Syringe,,0.2 ML adalimumab-atto 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.2 ML
2639651,327361,SCD,0.4 ML adalimumab-aaty 100 MG/ML Auto-Injector,,0.4 ML adalimumab-aaty 100 MG/ML Auto-Injector,Auto-Injector,,0.4 ML
2639659,327361,SCD,0.4 ML adalimumab-aaty 100 MG/ML Prefilled Syringe,,0.4 ML adalimumab-aaty 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.4 ML
2640287,327361,SCD,0.8 ML adalimumab-bwwd 50 MG/ML Auto-Injector,,0.8 ML adalimumab-bwwd 50 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
2640302,327361,SCD,0.8 ML adalimumab-bwwd 50 MG/ML Prefilled Syringe,,0.8 ML adalimumab-bwwd 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
2640389,327361,SCD,0.8 ML adalimumab-aqvh 50 MG/ML Prefilled Syringe,,0.8 ML adalimumab-aqvh 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
2640397,327361,SCD,0.8 ML adalimumab-aqvh 50 MG/ML Auto-Injector,,0.8 ML adalimumab-aqvh 50 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
2640404,327361,SCD,0.8 ML adalimumab-fkjp 50 MG/ML Auto-Injector,,0.8 ML adalimumab-fkjp 50 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
2640412,327361,SCD,0.4 ML adalimumab-fkjp 50 MG/ML Prefilled Syringe,,0.4 ML adalimumab-fkjp 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.4 ML
2640417,327361,SCD,0.8 ML adalimumab-fkjp 50 MG/ML Prefilled Syringe,,0.8 ML adalimumab-fkjp 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
2640419,327361,SCD,0.8 ML adalimumab-bwwd 50 MG/ML Injection,,0.8 ML adalimumab-bwwd 50 MG/ML Injection,Injection,,0.8 ML
2640425,327361,SCD,0.4 ML adalimumab-bwwd 100 MG/ML Prefilled Syringe,,0.4 ML adalimumab-bwwd 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.4 ML
2640430,327361,SCD,0.4 ML adalimumab-bwwd 100 MG/ML Auto-Injector,,0.4 ML adalimumab-bwwd 100 MG/ML Auto-Injector,Auto-Injector,,0.4 ML
2640851,327361,SCD,0.8 ML adalimumab-aacf 50 MG/ML Prefilled Syringe,,0.8 ML adalimumab-aacf 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
2640859,327361,SCD,0.8 ML adalimumab-aacf 50 MG/ML Auto-Injector,,0.8 ML adalimumab-aacf 50 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
2640883,327361,SCD,0.8 ML adalimumab-adbm 50 MG/ML Prefilled Syringe,,0.8 ML adalimumab-adbm 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
2640891,327361,SCD,0.2 ML adalimumab-adbm 50 MG/ML Prefilled Syringe,,0.2 ML adalimumab-adbm 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.2 ML
2640893,327361,SCD,0.4 ML adalimumab-adbm 50 MG/ML Prefilled Syringe,,0.4 ML adalimumab-adbm 50 MG/ML Prefilled Syringe,Prefilled Syringe,,0.4 ML
2640895,327361,SCD,0.8 ML adalimumab-adbm 50 MG/ML Auto-Injector,,0.8 ML adalimumab-adbm 50 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
2641644,327361,SCD,0.1 ML adalimumab-adaz 100 MG/ML Prefilled Syringe,,0.1 ML adalimumab-adaz 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.1 ML
2641653,327361,SCD,0.2 ML adalimumab-adaz 100 MG/ML Prefilled Syringe,,0.2 ML adalimumab-adaz 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.2 ML
2641655,327361,SCD,0.4 ML adalimumab-adaz 100 MG/ML Auto-Injector,,0.4 ML adalimumab-adaz 100 MG/ML Auto-Injector,Auto-Injector,,0.4 ML
2641660,327361,SCD,0.4 ML adalimumab-adaz 100 MG/ML Prefilled Syringe,,0.4 ML adalimumab-adaz 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.4 ML
2641662,327361,SCD,0.8 ML adalimumab-adaz 100 MG/ML Auto-Injector,,0.8 ML adalimumab-adaz 100 MG/ML Auto-Injector,Auto-Injector,,0.8 ML
2641666,327361,SCD,0.8 ML adalimumab-adaz 100 MG/ML Prefilled Syringe,,0.8 ML adalimumab-adaz 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.8 ML
2663901,327361,SCD,0.2 ML adalimumab-atto 100 MG/ML Prefilled Syringe,,0.2 ML adalimumab-atto 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.2 ML
2663906,327361,SCD,0.4 ML adalimumab-atto 100 MG/ML Prefilled Syringe,,0.4 ML adalimumab-atto 100 MG/ML Prefilled Syringe,Prefilled Syringe,,0.4 ML
