ApplNo,ApplType,ApplicantName,ApplStatus,FirstApprovalDate,LastUpdateDate
000004,N,PHARMICS INC,Discontinued,1982-01-01,
000159,N,ELI LILLY AND CO,Discontinued,1982-01-01,
000552,N,ASPEN GLOBAL INC,Discontinued,1982-01-01,
000734,N,ELI LILLY AND CO,Discontinued,1982-01-01,
000793,N,NORVIUM BIOSCIENCE LLC,Discontinued,1982-01-01,
001104,N,ORGANON USA INC,Discontinued,1982-01-01,
001546,N,MERCK SHARP AND DOHME CORP,Discontinued,1982-01-01,
002139,N,ELI LILLY AND CO,Discontinued,1982-01-01,
002282,N,ISO TEX DIAGNOSTICS INC,Discontinued,1982-01-01,
002386,N,GD SEARLE LLC,Discontinued,1982-01-01,
002918,N,WILLIAM P POYTHRESS AND CO INC,Discontinued,1982-01-01,
003158,N,SCHERING CORP SUB SCHERING PLOUGH CORP,Discontinued,1982-01-01,
003240,N,NOVARTIS PHARMACEUTICALS CORP,Discontinued,1982-01-01,
003402,N,PARKE DAVIS DIV WARNER LAMBERT CO,Discontinued,1982-01-01,
003444,N,ESJAY PHARMA LLC,Active,1982-01-01,
003718,N,HOFFMANN LA ROCHE INC,Discontinued,1982-01-01,
003977,N,PARKEDALE PHARMACEUTICALS INC,Discontinued,1982-01-01,
004039,N,ELI LILLY AND CO,Discontinued,1982-01-01,
004040,N,ELI LILLY AND CO,Discontinued,1982-01-01,
004041,N,ELI LILLY AND CO,Discontinued,1982-01-01,
004054,N,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,Discontinued,1982-01-01,
004056,N,BRISTOL MYERS SQUIBB,Discontinued,1982-01-01,
004122,N,ELI LILLY AND CO,Discontinued,1982-01-01,
004125,N,ABBVIE INC,Discontinued,1982-01-01,
004570,N,PHARMACIA AND UPJOHN CO,Discontinued,1982-01-01,
004782,N,WYETH PHARMACEUTICALS LLC,Active,1982-01-01,
005010,N,QUAGEN PHARMACEUTICALS LLC,Discontinued,1982-01-01,
005151,N,NOVARTIS PHARMACEUTICALS CORP,Discontinued,1982-01-01,
005213,N,GENUS LIFESCIENCES INC,Active,1988-07-26,
005264,N,HOSPIRA INC,Discontinued,1982-01-01,
005292,N,SCHERING CORP SUB SCHERING PLOUGH CORP,Discontinued,1982-01-01,
005319,N,ALCON LABORATORIES INC,Discontinued,1982-01-01,
005378,N,AJENAT PHARMACEUTICALS LLC,Active,1982-01-01,
005490,N,ORGANON USA INC,Discontinued,1982-01-01,
005509,N,ELI LILLY AND CO,Discontinued,1982-01-01,
005521,N,ELI LILLY AND CO,Discontinued,1982-01-01,
005545,N,ABBVIE INC,Discontinued,1982-01-01,
005619,N,MERCK AND CO INC,Discontinued,1982-01-01,
005620,N,MERCK AND CO INC,Discontinued,1982-01-01,
005657,N,BRISTOL MYERS SQUIBB CO,Discontinued,1982-01-01,
005691,N,MEDPOINTE PHARMACEUTICALS MEDPOINTE HEALTHCARE INC,Discontinued,1982-01-01,
005725,N,ELI LILLY AND CO,Discontinued,1982-01-01,
005794,N,ORTHO MCNEIL PHARMACEUTICAL INC,Discontinued,1982-01-01,
005795,N,SHIRE DEVELOPMENT INC,Discontinued,1982-01-01,
005845,N,MCNEIL CONSUMER HEALTHCARE,Discontinued,1982-01-01,
005856,N,ABBVIE INC,Discontinued,1982-01-01,
005897,N,WYETH PHARMACEUTICALS INC,Discontinued,1982-01-01,
