ApplNo,ProductNo,TradeName,ActiveIngredient,Strength,DosageForm,Route,ReferenceListedDrugFlag,ReferenceStandardFlag,MarketingStatus,TECode,RxCUI_Ingredient,RxCUI_Product,LastUpdateDate
215328,001,BUDESONIDE,BUDESONIDE,2MG/ACTUATION,"AEROSOL, FOAM",RECTAL,N,Y,RX,AB,,,
205613,001,UCERIS,BUDESONIDE,2MG/ACTUATION,"AEROSOL, FOAM",RECTAL,Y,N,RX,AB,,,
212379,001,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM",TOPICAL,Y,Y,RX,,,,
210928,001,AZELAIC ACID,AZELAIC ACID,15%,"AEROSOL, FOAM",TOPICAL,N,N,DISCN,,,,
215832,001,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,0.12%,"AEROSOL, FOAM",TOPICAL,N,N,RX,AB,,,
207144,001,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,0.12%,"AEROSOL, FOAM",TOPICAL,N,N,DISCN,,,,
078337,001,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,0.12%,"AEROSOL, FOAM",TOPICAL,N,N,RX,AB,,,
208204,001,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,0.12%,"AEROSOL, FOAM",TOPICAL,N,Y,RX,AB,,,
210639,001,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,0.12%,"AEROSOL, FOAM",TOPICAL,N,N,RX,AB,,,
214688,001,CALCIPOTRIENE AND BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,0.064%;0.005%,"AEROSOL, FOAM",TOPICAL,N,N,DISCN,,,,
210778,001,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,1%,"AEROSOL, FOAM",TOPICAL,N,N,RX,AT,,,
090785,001,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,1%,"AEROSOL, FOAM",TOPICAL,N,Y,RX,AT,,,
210004,001,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,1%,"AEROSOL, FOAM",TOPICAL,N,N,RX,AT,,,
215838,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,N,N,RX,AB1,,,
210809,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,N,N,RX,AB1,,,
211450,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,N,N,RX,AB2,,,
206805,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,N,N,DISCN,,,,
077763,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,N,N,RX,AB1,,,
201402,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,N,Y,RX,AB2,,,
208563,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,N,N,RX,AB2,,,
208779,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,N,Y,RX,AB1,,,
205175,001,ECOZA,ECONAZOLE NITRATE,1%,"AEROSOL, FOAM",TOPICAL,Y,Y,RX,,,,
207589,001,ENSTILAR,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,0.064%;0.005%,"AEROSOL, FOAM",TOPICAL,Y,Y,RX,,,,
050801,001,EVOCLIN,CLINDAMYCIN PHOSPHATE,1% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,"AEROSOL, FOAM",TOPICAL,Y,N,DISCN,,,,
021738,001,EXTINA,KETOCONAZOLE,2% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,"AEROSOL, FOAM",TOPICAL,Y,N,DISCN,,,,
202428,001,FABIOR,TAZAROTENE,0.1%,"AEROSOL, FOAM",TOPICAL,Y,Y,RX,,,,
207071,001,FINACEA,AZELAIC ACID,15%,"AEROSOL, FOAM",TOPICAL,Y,Y,RX,,,,
215266,001,HALOBETASOL PROPIONATE,HALOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,N,N,RX,AB,,,
091550,001,KETOCONAZOLE,KETOCONAZOLE,2%,"AEROSOL, FOAM",TOPICAL,N,N,RX,AB,,,
213601,001,KETOCONAZOLE,KETOCONAZOLE,2%,"AEROSOL, FOAM",TOPICAL,N,Y,RX,AB,,,
210566,001,LEXETTE,HALOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,Y,Y,RX,AB,,,
020934,001,LUXIQ,BETAMETHASONE VALERATE,0.12% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,"AEROSOL, FOAM",TOPICAL,Y,N,DISCN,,,,
021812,001,MEN'S ROGAINE,MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,Y,Y,OTC,,,,
091344,001,MINOXIDIL,MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,N,N,OTC,,,,
218616,001,MINOXIDIL (FOR MEN),MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,N,N,OTC,,,,
208092,001,MINOXIDIL (FOR MEN),MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,N,N,OTC,,,,
209074,001,MINOXIDIL (FOR MEN),MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,N,N,OTC,,,,
218616,002,MINOXIDIL (FOR WOMEN),MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,N,N,OTC,,,,
208092,002,MINOXIDIL (FOR WOMEN),MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,N,N,OTC,,,,
209074,002,MINOXIDIL (FOR WOMEN),MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,N,N,OTC,,,,
021142,001,OLUX,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,Y,N,DISCN,,,,
022013,001,OLUX E,CLOBETASOL PROPIONATE,0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,"AEROSOL, FOAM",TOPICAL,Y,N,DISCN,,,,
022563,001,SORILUX,CALCIPOTRIENE,0.005%,"AEROSOL, FOAM",TOPICAL,Y,Y,RX,,,,
021978,001,VERDESO,DESONIDE,0.05%,"AEROSOL, FOAM",TOPICAL,Y,N,DISCN,,,,
021812,002,WOMEN'S ROGAINE,MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,Y,Y,OTC,,,,
213690,001,ZILXI,MINOCYCLINE HYDROCHLORIDE,EQ 1.5% BASE,"AEROSOL, FOAM",TOPICAL,Y,Y,RX,,,,
021254,001,ADVAIR HFA,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,0.045MG/INH;EQ 0.021MG BASE/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,,,,
021254,002,ADVAIR HFA,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,0.115MG/INH;EQ 0.021MG BASE/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,,,,
021254,003,ADVAIR HFA,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,0.23MG/INH;EQ 0.021MG BASE/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,,,,
018340,001,AEROBID,FLUNISOLIDE,0.25MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
021247,001,AEROSPAN HFA,FLUNISOLIDE,0.078MG/INH,"AEROSOL, METERED",INHALATION,Y,N,DISCN,,,,
214070,001,AIRSUPRA,ALBUTEROL SULFATE; BUDESONIDE,EQ 0.09MG BASE/INH;0.08MG/INH,"AEROSOL, METERED",INHALATION,Y,Y,RX,,,,
072273,001,ALBUTEROL,ALBUTEROL,0.09MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
073045,001,ALBUTEROL,ALBUTEROL,0.09MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
073272,001,ALBUTEROL,ALBUTEROL,0.09MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
074072,001,ALBUTEROL,ALBUTEROL,0.09MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
212447,001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,N,N,RX,AB2,,,
209959,001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,N,N,RX,AB1,,,
209954,001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,N,N,RX,AB2,,,
203760,001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,N,N,RX,AB2,,,
207085,001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,N,N,RX,AB1,,,
016402,001,ALUPENT,METAPROTERENOL SULFATE,0.65MG/INH,"AEROSOL, METERED",INHALATION,N,N,DISCN,,,,
