ApplNo,ProductNo,TECode
215328,001,AB
205613,001,AB
215832,001,AB
078337,001,AB
208204,001,AB
210639,001,AB
210778,001,AT
090785,001,AT
210004,001,AT
215838,001,AB1
210809,001,AB1
211450,001,AB2
077763,001,AB1
201402,001,AB2
208563,001,AB2
208779,001,AB1
215266,001,AB
091550,001,AB
213601,001,AB
210566,001,AB
212447,001,AB2
209959,001,AB1
209954,001,AB2
203760,001,AB2
207085,001,AB1
211699,001,AB
211699,002,AB
021457,001,AB2
020503,001,AB1
021929,001,AB
021929,002,AB
020983,001,BX
086457,001,BX
086195,001,BX
021427,001,AB
021427,002,AB
021427,004,AB
019680,001,AB
213181,001,AB
218793,001,AB
078979,001,AB
078919,001,AB
090776,001,AB
090776,002,AB
090776,003,AB
208706,001,AB
208706,002,AB
208706,004,AB
208706,003,AB
202949,001,AB
202949,002,AB
202949,003,AB
203197,001,AB
203197,002,AB
203197,003,AB
090778,001,AB
090778,002,AB
090778,003,AB
203088,001,AB
203088,002,AB
203088,004,AB
203088,003,AB
211310,001,AB
211310,002,AB
211310,003,AB
204343,001,AB
204343,002,AB
204343,003,AB
202336,001,AB
202336,002,AB
202336,003,AB
090694,001,AB
090694,002,AB
090694,003,AB
090694,004,AB
204815,001,AB
204815,002,AB
204815,003,AB
206653,001,AB
206653,002,AB
206653,003,AB
210599,001,AB
210599,002,AB
210599,003,AB
212328,001,AB
212328,002,AB
212328,003,AB
090739,001,AB
090739,002,AB
090739,004,AB
090739,003,AB
090728,001,AB
090728,002,AB
090728,003,AB
050536,001,AB
062746,001,AB
208333,001,AB
208333,002,AB
205606,001,AB
205606,002,AB
213158,001,AB
213158,002,AB
212949,001,AB
212949,002,AB
078279,001,AB
078279,002,AB
090841,001,AB
090841,002,AB
217427,001,AB
217427,002,AB
213486,001,AB
213486,002,AB
213859,001,AB
213859,002,AB
211977,001,AB
211977,002,AB
210559,001,AB
210559,002,AB
205563,001,AB
205563,002,AB
078936,001,AB
078936,002,AB
214920,001,AB
214920,002,AB
209735,001,AB
209735,002,AB
217022,001,AB
217022,002,AB
206296,001,AB
206296,002,AB
207394,001,AB
207394,002,AB
207156,001,AB
207156,002,AB
091269,001,AB
091269,002,AB
203083,001,AB
203083,002,AB
205868,001,AB
205868,002,AB
090763,001,AB
090763,002,AB
201921,001,AB
201921,002,AB
077255,001,AB
077255,002,AB
202176,001,AB
202176,002,AB
203203,001,AB
203203,002,AB
202366,001,AB
202366,002,AB
021153,001,AB
021153,002,AB
075347,001,AB
075347,002,AB
075347,003,AB
076048,001,AB
076048,002,AB
076048,003,AB
203270,001,AB
203270,002,AB
203270,003,AB
203481,001,AB
203481,002,AB
203481,003,AB
075576,003,AB
078490,002,AB
075576,002,AB
078490,003,AB
075576,001,AB
078490,001,AB
091672,001,AB
091672,002,AB
091672,003,AB
204012,001,AB
204012,002,AB
075785,001,AB
075785,002,AB
075785,003,AB
075410,001,AB
075410,002,AB
075410,003,AB
075757,001,AB
075757,002,AB
076515,001,AB
204661,001,AB
212977,001,AB
212977,002,AB
212977,003,AB
091352,001,AB
091352,002,AB
091352,003,AB
020406,002,AB
206200,001,AB
090410,001,AB
206623,001,AB
207367,001,AB
206134,001,AB
022287,001,AB
022287,002,AB
205205,001,AB
205205,002,AB
202294,002,AB
202294,001,AB
202666,001,AB
202666,002,AB
210499,001,AB
