ApplNo,ProductNo,ExclusivityCode,ExclusivityEndDate,Notes,FileDate
017031,001,RTO,2026-07-13,,
018680,001,D-193,2027-06-28,,
019569,001,ODE-267,2026-06-28,,
020263,009,NS,2026-04-14,,
020825,001,M-232,2025-01-28,,
020825,002,M-232,2025-01-28,,
020825,003,M-232,2025-01-28,,
020825,004,M-232,2025-01-28,,
020862,001,M-14,2028-06-11,,
020862,002,M-14,2028-06-11,,
020862,003,M-14,2028-06-11,,
020899,001,NPP,2028-05-09,,
020988,001,NPP,2027-08-12,,
021038,001,NPP,2025-12-16,,
021038,002,NPP,2025-12-16,,
021038,003,NPP,2025-12-16,,
021038,004,NPP,2025-12-16,,
021038,005,NPP,2025-12-16,,
021164,001,NCE,2028-09-22,,
021164,002,NCE,2028-09-22,,
021164,003,NCE,2028-09-22,,
021164,004,NCE,2028-09-22,,
021196,001,ODE-231,2025-10-26,,
021248,001,ODE-167,2025-01-12,,
021248,002,ODE-167,2025-01-12,,
021323,001,NPP,2026-05-12,,
021323,002,NPP,2026-05-12,,
021323,003,NPP,2026-05-12,,
021365,001,NPP,2026-05-12,,
021825,001,ODE-417,2028-04-30,,
021825,001,ODE-420,2028-04-30,,
021825,001,ODE-421,2028-04-30,,
021825,002,ODE-417,2028-04-30,,
021825,002,ODE-420,2028-04-30,,
021825,002,ODE-421,2028-04-30,,
021845,001,M-287,2026-01-31,,
021845,001,ODE-469,2030-01-31,,
021880,001,ODE-241,2026-05-28,,
021880,001,ODE-245,2026-05-28,,
021880,002,ODE-241,2026-05-28,,
021880,002,ODE-245,2026-05-28,,
021880,003,ODE-241,2026-05-28,,
021880,003,ODE-245,2026-05-28,,
021880,004,ODE-241,2026-05-28,,
021880,004,ODE-245,2026-05-28,,
021880,005,ODE-241,2026-05-28,,
021880,005,ODE-245,2026-05-28,,
021880,006,ODE-241,2026-05-28,,
021880,006,ODE-245,2026-05-28,,
021986,001,ODE-164,2024-11-09,,
021986,001,ODE-225,2025-12-21,,
021986,002,ODE-164,2024-11-09,,
021986,002,ODE-225,2025-12-21,,
021986,003,ODE-164,2024-11-09,,
021986,003,ODE-225,2025-12-21,,
021986,004,ODE-164,2024-11-09,,
021986,004,ODE-225,2025-12-21,,
021986,005,ODE-164,2024-11-09,,
021986,005,ODE-225,2025-12-21,,
021986,006,ODE-164,2024-11-09,,
021986,006,ODE-225,2025-12-21,,
022023,001,D-186,2025-05-02,,
022023,002,D-186,2025-05-02,,
022068,001,ODE-171,2025-03-22,,
022068,001,ODE-172,2025-03-22,,
022068,001,ODE-380,2028-09-23,,
022068,002,ODE-171,2025-03-22,,
022068,002,ODE-172,2025-03-22,,
022068,002,ODE-380,2028-09-23,,
022068,003,ODE-171,2025-03-22,,
022068,003,ODE-172,2025-03-22,,
022068,003,ODE-380,2028-09-23,,
022192,001,I-939,2027-04-02,,
022192,002,I-939,2027-04-02,,
022192,003,I-939,2027-04-02,,
022192,004,I-939,2027-04-02,,
022192,005,I-939,2027-04-02,,
022192,006,I-939,2027-04-02,,
022192,007,I-939,2027-04-02,,
022200,001,NPP,2024-07-22,,
022200,002,NPP,2024-07-22,,
022225,001,NPP,2027-12-12,,
022225,002,NPP,2027-12-12,,
022231,001,NCE,2027-09-14,,
022231,001,ODE-406,2029-09-14,,
022253,001,D-188,2026-04-28,,
022253,002,D-188,2026-04-28,,
022253,003,D-188,2026-04-28,,
022253,004,D-188,2026-04-28,,
022254,001,D-188,2026-04-28,,
022255,001,D-188,2026-04-28,,
022271,001,M-300,2026-07-27,,
022271,002,M-300,2026-07-27,,
022271,003,M-300,2026-07-27,,
022291,001,ODE-210,2025-11-16,,
022291,002,ODE-210,2025-11-16,,
022291,003,ODE-210,2025-11-16,,
022291,004,ODE-210,2025-11-16,,
022291,005,ODE-210,2025-11-16,,
022304,001,NPP,2026-07-03,,
022304,002,NPP,2026-07-03,,
022304,003,NPP,2026-07-03,,
022335,001,NP,2026-09-29,,
022348,001,NPP,2026-05-11,,
022348,002,NPP,2026-05-11,,
022348,003,NPP,2026-05-11,,
022372,001,ODE-315,2027-08-05,,
022388,001,NP,2025-02-25,,
022406,001,I-867,2024-08-23,,
022406,002,I-867,2024-08-23,,
022406,003,I-867,2024-08-23,,
022406,004,I-867,2024-08-23,,
022433,001,M-283,2025-05-09,,
022433,002,M-283,2025-05-09,,
022473,001,M-287,2026-01-31,,
022496,001,I-929,2026-11-09,,
022496,002,I-929,2026-11-09,,
022562,001,ODE-345,2028-01-22,,
022580,001,M-308,2027-09-13,,
022580,001,NPP,2025-06-24,,
022580,002,M-308,2027-09-13,,
022580,002,NPP,2025-06-24,,
022580,003,M-308,2027-09-13,,
022580,003,NPP,2025-06-24,,
022580,004,M-308,2027-09-13,,
022580,004,NPP,2025-06-24,,
050708,001,ODE-294,2025-05-24,,
050708,001,ODE-360,2028-07-16,,
050708,002,ODE-294,2025-05-24,,
050708,002,ODE-360,2028-07-16,,
050708,003,ODE-294,2025-05-24,,
050708,003,ODE-360,2028-07-16,,
050709,001,ODE-294,2025-05-24,,
050709,001,ODE-360,2028-07-16,,
050794,001,I-889,2025-05-20,,
050794,001,ODE-399,2029-05-20,,
201280,001,M-295,2026-06-20,,
201281,001,M-295,2026-06-20,,
201281,002,M-295,2026-06-20,,
201281,003,M-295,2026-06-20,,
201292,001,M-276,2025-04-07,,
201292,001,ODE-230,2025-01-12,,
201292,002,M-276,2025-04-07,,
201292,002,ODE-230,2025-01-12,,
201292,003,M-276,2025-04-07,,
201292,003,ODE-230,2025-01-12,,
201532,001,M-280,2025-09-13,,
201699,001,ODE-367,2027-01-24,,
201848,001,NP,2026-08-14,,
201848,001,ODE-438,2030-08-14,,
202049,001,ODE-327,2027-10-30,,
202103,001,PC,2025-03-02,,
202103,002,PC,2025-03-02,,
202103,003,PC,2025-03-02,,
202103,004,PC,2025-03-02,,
202155,001,NPP,2028-04-17,,
202155,002,NPP,2028-04-17,,
202155,003,NS,2028-04-17,,
202192,001,I-872,2024-09-22,,
202192,001,M-285,2025-12-19,,
202192,001,ODE-238,2026-05-24,,
202192,001,ODE-373,2028-09-22,,
202192,002,I-872,2024-09-22,,
202192,002,M-285,2025-12-19,,
202192,002,ODE-238,2026-05-24,,
202192,002,ODE-373,2028-09-22,,
202192,003,M-285,2025-12-19,,
202192,003,ODE-238,2026-05-24,,
202192,003,ODE-373,2028-09-22,,
202192,004,M-285,2025-12-19,,
202192,004,ODE-238,2026-05-24,,
202192,004,ODE-373,2028-09-22,,
202192,005,M-285,2025-12-19,,
202192,005,ODE-238,2026-05-24,,
202192,005,ODE-373,2028-09-22,,
202276,001,M-282,2025-10-18,,
202276,002,M-282,2025-10-18,,
202276,003,M-282,2025-10-18,,
202293,001,M-298,2026-05-08,,
202293,001,NPP,2027-06-12,,
202293,002,M-298,2026-05-08,,
202293,002,NPP,2027-06-12,,
202408,001,ODE-235,2026-03-29,,
202570,001,I-897,2025-07-14,,
202570,001,ODE-328,2028-01-14,,
202570,001,ODE-407,2029-07-14,,
202570,002,I-897,2025-07-14,,
202570,002,ODE-328,2028-01-14,,
202570,002,ODE-407,2029-07-14,,
202714,001,M-14,2028-05-22,,
202714,002,M-14,2028-05-22,,
202714,003,M-14,2028-05-22,,
202806,001,I-894,2025-06-22,,
202806,001,I-908,2026-03-16,,
202806,001,ODE-182,2025-04-30,,
202806,001,ODE-183,2025-05-04,,
202806,001,ODE-428,2030-03-16,,
202806,002,I-894,2025-06-22,,
202806,002,I-908,2026-03-16,,
202806,002,ODE-182,2025-04-30,,
202806,002,ODE-183,2025-05-04,,
202806,002,ODE-428,2030-03-16,,
202811,001,I-921,2026-06-12,,
202811,003,I-921,2026-06-12,,
203094,001,ODE-260,2026-08-22,,
203109,001,M-287,2026-01-31,,
203180,001,PC,2025-03-02,,
203180,002,PC,2025-03-02,,
203188,001,ODE-199,2025-08-15,,
203188,001,ODE-338,2027-12-21,,
203214,001,M-14,2028-02-21,,
203255,001,ODE-268,2025-06-29,,
203255,002,ODE-268,2025-06-29,,
203255,003,ODE-268,2025-06-29,,
203255,004,ODE-268,2025-06-29,,
203255,005,ODE-268,2025-06-29,,
203341,001,I-923,2026-09-26,,
203341,001,ODE-163,2024-12-19,,
203341,001,ODE-444,2030-09-26,,
203341,002,I-923,2026-09-26,,
203341,002,ODE-163,2024-12-19,,
203341,002,ODE-444,2030-09-26,,
203341,003,I-923,2026-09-26,,
203341,003,ODE-163,2024-12-19,,
203341,003,ODE-444,2030-09-26,,
203389,001,ODE-162,2024-12-22,,
203389,002,ODE-162,2024-12-22,,
203414,001,M-300,2026-07-27,,
203414,002,M-300,2026-07-27,,
203415,001,I-926,2026-11-17,,
203441,001,ODE-240,2026-05-16,,
203469,001,I-934,2027-03-19,,
203469,001,ODE-472,2031-03-19,,
203469,002,I-934,2027-03-19,,
203469,002,ODE-472,2031-03-19,,
203469,003,I-934,2027-03-19,,
203469,003,ODE-472,2031-03-19,,
203469,004,I-934,2027-03-19,,
203469,004,ODE-472,2031-03-19,,
203496,001,ODE-272,2026-10-18,,
203496,002,ODE-272,2026-10-18,,
203496,003,ODE-272,2026-10-18,,
203496,004,ODE-272,2026-10-18,,
203496,005,ODE-272,2026-10-18,,
203565,001,I-915,2026-05-31,,
203565,002,I-915,2026-05-31,,
203565,003,I-915,2026-05-31,,
203565,004,I-915,2026-05-31,,
203640,001,PC,2025-11-19,,
203640,002,PC,2025-11-19,,
203640,003,PC,2025-11-19,,
203794,001,NPP,2026-07-03,,
203985,001,ODE-169,2025-04-10,,
203985,002,ODE-169,2025-04-10,,
203985,003,ODE-169,2025-04-10,,
204026,001,ODE-296,2027-05-14,,
204026,001,ODE-297,2027-05-14,,
204026,002,ODE-296,2027-05-14,,
204026,002,ODE-297,2027-05-14,,
204026,003,ODE-296,2027-05-14,,
204026,003,ODE-297,2027-05-14,,
204026,004,ODE-296,2027-05-14,,
204026,004,ODE-297,2027-05-14,,
204042,001,NPP,2027-12-18,,
