ApplNo,ProductNo,PatentNo,PatentExpiration,DrugSubstanceFlag,DrugProductFlag,PatentUseCode,DelistRequested,PediatricExtension,FileDate
020610,001,7625884,,,,U-141,,,
018613,001,7560445,,Y,Y,U-986,,,
019734,002,8455524,,,,U-1029,,,
019734,005,8455524,,,,U-1029,,,
020832,007,7422388,,,Y,U-1397,,,
020845,002,8431163,,,,U-1286,,,
020845,003,8282966,,,,U-1286,,,
020845,003,8293284,,,,U-1286,,,
021038,002,8455527,,,,U-421,,,
021038,003,8455527,,,,U-421,,,
021400,003,8273876,,,,U-1288,,,
021528,001,8008338,,Y,Y,U-1181,,,
021539,001,8399445,,,,U-1373,,,
021572,002,8003673,,,,U-1180,,,
021223,002,8324189,,,,U-1308,,,
021223,003,8324189,,,,U-1308,,,
021633,002,7572779,,,,U-904,,,
208351,001,9296769,,Y,Y,U-257,,,
021660,001,8034375,,,,U-1290,,,
021669,001,7935093,,,Y,U-1022,,,
021688,001,7829595,,,Y,U-1098,,,
021688,002,7829595,,,Y,U-1098,,,
202880,001,9326982,,,,U-1810,,,
202880,003,9326982,,,,U-1810,,,
202880,004,9326982,,,,U-1810,,,
202880,005,9326982,,,,U-1810,,,
021695,005,9314447,,,Y,U-1447,,,
208251,001,8932610,,,Y,U-1578,,,
021829,001,8246979,,,Y,U-1272,,,
021829,004,8246979,,,Y,U-1272,,,
021829,005,8246979,,,Y,U-1273,,,
021829,006,8246979,,,Y,U-1273,,,
021856,002,8372872,,,,U-1346,,,
021862,001,7834059,,,,U-1095,,,
021897,001,7919499,,,,U-1124,,,
021897,001,7919499,,,,U-1123,,,
021902,001,7858662,,,Y,U-172,,,
022108,002,7569610,,,,U-997,,,
022184,001,8309605,,,,U-1293,,,
022202,001,7884095,,,,U-1111,,,
022202,001,8110606,,,,U-980,,,
022249,002,8445524,,Y,Y,U-1402,,,
022252,001,8153616,,,,U-1240,,,
022256,001,7994220,,,,U-819,,,
022256,002,7994220,,,,U-819,,,
022256,003,7994220,,,,U-819,,,
022256,004,7994220,,,,U-819,,,
022271,001,7807689,,Y,Y,U-1337,,,
022271,003,7807689,,Y,Y,U-1337,,,
203510,002,8859623,,,,U-1594,,,
022287,001,8173158,,,,U-951,,,
022287,001,8173158,,,,U-949,,,
022287,002,8173158,,,,U-951,,,
022287,002,8173158,,,,U-950,,,
