BLANumber,Applicant,Status,OriginalLicensureDate,LastUpdateDate
125197,Dendreon Pharmaceuticals LLC,Licensed,NaT,2010-04-29
125384,Kedrion Biopharma Inc.,Licensed,NaT,2011-06-03
125822,"Kedrion, S.p.A.",Licensed,NaT,2025-09-26
761439,Hikma Pharmaceuticals USA Inc.,Licensed,NaT,2025-09-26
17016,Ferring Pharmaceuticals Inc.,Licensed,NaT,2074-01-15
17054,"Bel-Mar Laboratories, Inc.",Licensed,NaT,2074-03-26
17055,Ferring Pharmaceuticals Inc.,Licensed,NaT,2074-12-13
17067,"Fresenius Kabi USA, LLC",Licensed,NaT,2073-03-05
17646,"EMD Serono, Inc.",Licensed,NaT,2075-08-22
17692,"Organon USA LLC, a subsidiary of Organon & Co.",Licensed,NaT,1976-10-20
17776,Jubilant DraxImage Inc.,Licensed,NaT,1976-11-16
17833,Bracco Diagnostics Inc.,Licensed,NaT,1976-02-23
17835,"Iso-Tex Diagnostics, Inc.",Voluntarily Revoked,NaT,1976-02-23
17836,"Iso-Tex Diagnostics, Inc.",Voluntarily Revoked,NaT,1976-02-23
17837,"Iso-Tex Diagnostics, Inc.",Licensed,NaT,1976-02-23
17881,Jubilant DraxImage Inc.,Licensed,NaT,1987-12-30
18263,Pharmalucence Inc,Voluntarily Revoked,NaT,1983-03-25
18663,"DisCure Medical, LLC",Licensed,NaT,1982-11-10
18780,Eli Lilly and Company,Licensed,NaT,1982-10-28
18781,Eli Lilly and Company,Licensed,NaT,1982-10-28
19640,Eli Lilly and Company,Licensed,NaT,1987-06-23
19717,Eli Lilly and Company,Licensed,NaT,1989-04-25
19764,"EMD Serono, Inc.",Voluntarily Revoked,NaT,1996-10-08
19774,Ferring Pharmaceuticals Inc.,Licensed,NaT,1995-05-25
19818,"Leadiant Biosciences, Inc",Licensed,NaT,1990-03-21
19938,Novo Nordisk Inc.,Licensed,NaT,1991-06-25
19959,Novo Nordisk Inc.,Licensed,NaT,1991-07-01
19991,Novo Nordisk Inc.,Licensed,NaT,1991-06-25
20032,AbbVie Inc.,Licensed,NaT,1991-07-01
20162,Ferring Pharmaceuticals Inc.,Licensed,NaT,1996-05-23
20168,"Genentech, Inc.",Voluntarily Revoked,NaT,1993-11-17
20280,Pharmacia & Upjohn Company LLC,Licensed,NaT,1995-08-24
20304,Bayer HealthCare Pharmaceuticals Inc.,Licensed,NaT,1993-12-29
20328,"Organon USA Inc., a subsidiary of Merck & Co., Inc.",Voluntarily Revoked,NaT,1994-09-01
20367,Genzyme Corporation,Licensed,NaT,1994-05-23
20378,"EMD Serono, Inc.",Licensed,NaT,1997-09-29
20521,ONY Biotech Inc.,Licensed,NaT,1998-07-01
20522,"Genentech, Inc.",Voluntarily Revoked,NaT,1995-12-29
20563,Eli Lilly and Company,Licensed,NaT,1996-06-14
20580,"Organon USA Inc., a subsidiary of Merck & Co., Inc.",Voluntarily Revoked,NaT,1996-12-09
20582,"Organon USA Inc., a subsidiary of Merck & Co., Inc.",Voluntarily Revoked,NaT,1997-09-29
20604,"EMD Serono, Inc.",Licensed,NaT,1996-08-23
20725,AbbVie Inc.,Licensed,NaT,2009-04-30
20744,"Chiesi USA, Inc.",Licensed,NaT,1999-11-18
20772,"QOL Medical, LLC",Licensed,NaT,1998-04-09
20898,Genzyme Corporation,Licensed,NaT,1998-11-30
20986,Novo Nordisk Inc.,Licensed,NaT,2000-06-07
21017,Eli Lilly and Company,Licensed,NaT,1999-12-22
21018,Eli Lilly and Company,Licensed,NaT,1999-12-22
21047,Ferring Pharmaceuticals Inc.,Licensed,NaT,1999-08-27
21081,Sanofi-Aventis U.S. LLC,Licensed,NaT,2000-04-20
21106,Pharmacia & Upjohn Company LLC,Licensed,NaT,2003-03-25
21148,Novo Nordisk Inc.,Licensed,NaT,2000-06-20
21149,"EMD Serono, Inc.",Licensed,NaT,2000-09-20
21172,Novo Nordisk Inc.,Licensed,NaT,2001-11-01
21211,"Organon USA LLC, a subsidiary of Organon & Co.",Licensed,NaT,2004-03-23
21271,"Bausch Health US, LLC",Voluntarily Revoked,NaT,2003-04-04
21273,"Organon USA Inc., a subsidiary of Merck & Co., Inc.",Voluntarily Revoked,NaT,2005-08-26
21289,Ferring Pharmaceuticals Inc.,Voluntarily Revoked,NaT,2002-05-06
21426,Sandoz Inc.,Licensed,NaT,2006-05-30
21536,Novo Nordisk Inc.,Licensed,NaT,2005-06-16
21538,Emergent Biosolutions Canada Inc.,Voluntarily Revoked,NaT,2008-01-23
21629,Sanofi-Aventis U.S. LLC,Licensed,NaT,2004-04-16
