BLANumber,BiosimilarProprietaryName,BiosimilarProperName,ReferenceProductName,ReferenceProductName,ReferenceBLANumber,InterchangeabilityFlag,LicensureDate,LicensureDate
125197,Provenge,sipuleucel-T,<NA>,N/A,,Y,2010-04-29,NaT
125384,Kedbumin,Albumin (Human),<NA>,N/A,,Y,2011-06-03,NaT
125384,Kedbumin,Albumin (Human),<NA>,N/A,,Y,2013-09-05,NaT
125822,QIVIGY,"Immune Globulin Intravenous, Human-kthm, 10% Solution",N/A,<NA>,,Y,2025-09-26,NaT
761439,Enoby,denosumab-qbde,denosumab,Prolia,,Y,2025-09-26,NaT
761439,Xtrenbo,denosumab-qbde,denosumab,Xgeva,,Y,2025-09-26,NaT
<NA>,<NA>,<NA>,<NA>,<NA>,,Y,NaT,NaT
101062,<NA>,Antivenin (Latrodectus mactans),<NA>,N/A,,Y,2036-02-13,NaT
101066,"Recombivax, Recombivax Hb",Hepatitis B Vaccine (Recombinant),<NA>,N/A,,Y,1986-07-23,NaT
101068,ATTENUVAX,Measles Virus Vaccine Live,<NA>,<NA>,,Y,2063-03-21,NaT
101069,M-M-R Ii,"Measles, Mumps and Rubella Virus Vaccine Live",<NA>,N/A,,Y,2071-04-22,NaT
101069,M-M-R Ii,"Measles, Mumps and Rubella Virus Vaccine Live",<NA>,N/A,,Y,2023-02-27,NaT
101072,MumpsVax,Mumps Virus Vaccine Live,<NA>,<NA>,,Y,2067-12-28,NaT
101075,MERUVAX II,Rubella Virus Vaccine Live,<NA>,<NA>,,Y,2069-06-09,NaT
101094,Pneumovax 23,"Pneumococcal Vaccine, Polyvalent",<NA>,N/A,,Y,1977-11-21,NaT
101098,<NA>,Antivenin (Crotalidae) Polyvalent,<NA>,N/A,,Y,2054-02-08,NaT
101099,<NA>,Antivenin (Micrurus fulvius),<NA>,N/A,,Y,2067-08-28,NaT
101130,"Koate, Koate-Dvi",Antihemophilic Factor (Human),<NA>,N/A,,Y,2074-01-24,NaT
101134,"Baygam, Gamastan S/D",Immune Globulin (Human),<NA>,N/A,,Y,2044-01-11,NaT
101138,"Albuked, Plasbumin-20, Plasbumin-25, Plasbumin-5",Albumin (Human),<NA>,N/A,,Y,2042-10-21,NaT
101140,Plasmanate,Plasma Protein Fraction (Human),<NA>,N/A,,Y,2058-10-02,NaT
101141,"Bayrho-D, Hyprho-D, Hyperrho S/D Full Dose, Hyperrho S/D Mini-Dose",Rho(D) Immune Globulin (Human),<NA>,N/A,,Y,2071-06-11,NaT
101142,"Baytet, Hypertet",Tetanus Immune Globulin (Human),<NA>,N/A,,Y,2057-10-17,NaT
101144,"Bayrab, Hyperrab",Rabies Immune Globulin (Human),<NA>,N/A,,Y,2074-06-12,NaT
101144,"Bayrab,Hyperrab",Rabies Immune Globulin (Human),<NA>,N/A,,Y,2019-11-06,NaT
101146,"Bayhep B, Hyperhep B S/D",Hepatitis B Immune Globulin (Human),<NA>,N/A,,Y,1977-09-23,NaT
101147,Gamimune,Immune Globulin Intravenous (Human),<NA>,<NA>,,Y,1981-09-11,NaT
101246,Panhematin,Hemin for Injection,<NA>,N/A,,Y,1983-07-20,NaT
101322,Tdvax,Tetanus and Diphtheria Toxoids Adsorbed,<NA>,N/A,,Y,2070-07-27,NaT
101377,<NA>,"Insects (Whole Body), Mite Dermatophagoides farinae",<NA>,N/A,,Y,2030-07-11,NaT
101378,<NA>,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",<NA>,N/A,,Y,2030-07-11,NaT
101379,<NA>,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",<NA>,N/A,,Y,2030-06-14,NaT
101380,<NA>,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,N/A,,Y,2030-06-14,NaT
101381,<NA>,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,N/A,,Y,2030-06-14,NaT
101382,<NA>,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,N/A,,Y,2030-06-14,NaT
101382,<NA>,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,N/A,,Y,1997-05-29,NaT
101383,<NA>,"Pollens - Grasses, Redtop Agrostis alba",<NA>,N/A,,Y,2030-06-14,NaT
101384,<NA>,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,N/A,,Y,2030-06-14,NaT
101384,<NA>,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,N/A,,Y,1997-06-25,NaT
101385,<NA>,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,N/A,,Y,2030-06-14,NaT
101386,<NA>,"Pollens - Grasses, Timothy Phleum pratense",<NA>,N/A,,Y,2030-06-14,NaT
101387,<NA>,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",<NA>,N/A,,Y,2030-06-14,NaT
101447,"Autoplex, Feiba Nf, Feiba Vh",Anti-Inhibitor Coagulant Complex,<NA>,N/A,,Y,1979-12-21,NaT
101447,"Autoplex, Feiba Nf, Feiba Vh",Anti-Inhibitor Coagulant Complex,<NA>,N/A,,Y,2000-07-31,NaT
101447,"Autoplex, Feiba Nf, Feiba Vh",Anti-Inhibitor Coagulant Complex,<NA>,N/A,,Y,2005-08-11,NaT
101448,Hemofil M,Antihemophilic Factor (Human),<NA>,N/A,,Y,2001-03-14,NaT
101452,"Buminate, Flexbumin",Albumin (Human),<NA>,N/A,,Y,2054-03-03,NaT
101834,<NA>,"Insects (Whole Body), Mite Dermatophagoides farinae",<NA>,N/A,,Y,2058-09-15,NaT
101835,<NA>,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",<NA>,N/A,,Y,2058-09-15,NaT
101836,<NA>,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",<NA>,N/A,,Y,2030-06-14,NaT
101837,<NA>,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,N/A,,Y,2030-06-14,NaT
101838,<NA>,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,N/A,,Y,2030-06-14,NaT
101839,<NA>,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,N/A,,Y,2030-06-14,NaT
101840,<NA>,"Pollens - Grasses, Redtop Agrostis alba",<NA>,N/A,,Y,2030-06-14,NaT
101841,<NA>,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,N/A,,Y,2030-06-14,NaT
101842,<NA>,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,N/A,,Y,2030-06-14,NaT
101843,<NA>,"Pollens - Grasses, Timothy Phleum pratense",<NA>,N/A,,Y,2030-06-14,NaT
101844,<NA>,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",<NA>,N/A,,Y,2030-06-14,NaT
101845,<NA>,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia elatior",<NA>,N/A,,Y,2058-09-15,NaT
101993,<NA>,Albumin (Human),<NA>,N/A,,Y,1979-09-07,NaT
102212,<NA>,"Insects (Whole Body), Mite Dermatophagoides farinae",<NA>,N/A,,Y,2074-03-12,NaT
102213,<NA>,"Insects (Whole Body), Mite Dermatophagoides pteronyssinus",<NA>,N/A,,Y,2074-03-12,NaT
102214,<NA>,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",<NA>,N/A,,Y,2030-06-14,NaT
102215,<NA>,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,N/A,,Y,2030-06-14,NaT
102216,<NA>,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,N/A,,Y,2074-03-12,NaT
102217,<NA>,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,N/A,,Y,2074-03-12,NaT
102218,<NA>,"Pollens - Grasses, Redtop Agrostis alba",<NA>,N/A,,Y,2074-03-12,NaT
102219,<NA>,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,N/A,,Y,2074-03-12,NaT
102219,<NA>,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,N/A,,Y,2030-06-14,NaT
102220,<NA>,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,N/A,,Y,2074-03-12,NaT
102221,<NA>,"Pollens - Grasses, Timothy Phleum pratense",<NA>,N/A,,Y,2030-06-14,NaT
102366,Alburx,Albumin (Human),<NA>,N/A,,Y,1976-07-23,NaT
102367,"Carimune, Carimune Nf, Panglobulin, Sandoglobulin",Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2000-07-27,NaT
102475,Alphanate,Antihemophilic Factor/von Willebrand Factor Complex (Human),<NA>,N/A,,Y,1978-08-15,NaT
102475,Alphanate,Antihemophilic Factor/von Willebrand Factor Complex (Human),<NA>,N/A,,Y,2014-06-26,NaT
102476,"Profilnine, Profilnine Hp, Profilnine Ht, Profilnine Sd",Factor IX Complex,<NA>,N/A,,Y,1981-07-20,NaT
102478,Albutein,Albumin (Human),<NA>,N/A,,Y,1978-08-15,NaT
102821,Tice Bcg,BCG Live,<NA>,N/A,,Y,1989-06-21,NaT
102865,"Thrombin-Jmi, Thrombocoll","Thrombin, Topical (Bovine)",<NA>,N/A,,Y,1986-02-03,NaT
102865,"Thrombin-Jmi, Thrombocoll","Thrombin, Topical (Bovine)",<NA>,N/A,,Y,2011-02-10,NaT
103050,<NA>,BCG Vaccine,<NA>,N/A,,Y,1989-06-21,NaT
103051,<NA>,"Pollens - Grasses, Bermuda Grass Cynodon dactylon",<NA>,N/A,,Y,2058-09-29,NaT
103052,<NA>,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",<NA>,N/A,,Y,2050-09-29,NaT
103053,<NA>,"Pollens - Grasses, Fescue, Meadow Festuca elatior",<NA>,N/A,,Y,2050-09-29,NaT
103054,<NA>,"Pollens - Grasses, Orchard Grass Dactylis glomerata",<NA>,N/A,,Y,2050-09-29,NaT
103055,<NA>,"Pollens - Grasses, Redtop Agrostis alba",<NA>,N/A,,Y,2050-09-29,NaT
103056,<NA>,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",<NA>,N/A,,Y,2050-09-29,NaT
103057,<NA>,"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",<NA>,N/A,,Y,2050-09-29,NaT
103058,<NA>,"Pollens - Grasses, Timothy Phleum pratense",<NA>,N/A,,Y,2050-09-29,NaT
103059,<NA>,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",<NA>,N/A,,Y,2050-09-29,NaT
103060,<NA>,"Insects (Whole Body), Mite Dermatophagoides farinae",<NA>,N/A,,Y,2050-09-29,NaT
103061,<NA>,"Animal Allergens, Standardized Cat Pelt",<NA>,N/A,,Y,2050-09-29,NaT
103112,Proplex-T; Bebulin,Factor IX Complex,<NA>,<NA>,,Y,2070-08-21,NaT
103113,<NA>,"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",<NA>,N/A,,Y,2074-03-13,NaT
103123,Vivotif,Typhoid Vaccine Live Oral Ty21a,<NA>,N/A,,Y,1989-12-15,NaT
103133,"Gammagard, Gammagard S/D, Iveegam",Immune Globulin Intravenous (Human),<NA>,N/A,,Y,1986-02-18,NaT
103133,"Gammagard, Gammagard S/D, Iveegam",Immune Globulin Intravenous (Human),<NA>,N/A,,Y,2000-07-27,NaT
103141,Digibind,Digoxin Immune Fab (Ovine),<NA>,N/A,,Y,1986-04-22,NaT
103171,Tenivac,Tetanus and Diphtheria Toxoids Adsorbed,<NA>,N/A,,Y,2003-11-03,NaT
103174,"prolastin,prolastin-c,prolastin-c liquid",Alpha-1-Proteinase Inhibitor (Human),<NA>,N/A,,Y,1987-12-02,NaT
103174,"prolastin,prolastin-c,prolastin-c liquid",Alpha-1-Proteinase Inhibitor (Human),<NA>,N/A,,Y,2017-09-08,NaT
103174,"prolastin,prolastin-c,prolastin-c liquid",Alpha-1-Proteinase Inhibitor (Human),<NA>,N/A,,Y,2020-03-05,NaT
103189,Cytogam,Cytomegalovirus Immune Globulin Intravenous (Human),<NA>,N/A,,Y,1990-04-17,NaT
103196,Thrombate Iii,Antithrombin III (Human),<NA>,N/A,,Y,1991-12-30,NaT
103237,Pedvaxhib,Haemophilus b Conjugate Vaccine (Meningococcal Protein Conjugate),<NA>,N/A,,Y,1989-12-20,NaT
103239,Engerix-B,Hepatitis B Vaccine (Recombinant),<NA>,N/A,,Y,1989-08-28,NaT
103249,"Alphanine, Alphanine Hp, Alphanine Sd",Coagulation Factor IX (Human),<NA>,N/A,,Y,1990-12-31,NaT
103257,Candin,Candida albicans Skin Test Antigen for Cellular Hypersensitivity,<NA>,N/A,,Y,1995-11-27,NaT
103317,<NA>,Positive Skin Test Control-Histamine,<NA>,N/A,,Y,1992-02-14,NaT
103324,<NA>,"Animal Allergens, Standardized Cat Hair",<NA>,N/A,,Y,2030-07-11,NaT
103332,"Helixate Fs, Kogenate, Kogenate Fs",Antihemophilic Factor (Recombinant),<NA>,N/A,,Y,2002-08-20,NaT
103332,"Helixate Fs, Kogenate, Kogenate Fs",Antihemophilic Factor (Recombinant),<NA>,N/A,,Y,2007-06-07,NaT
103332,"Helixate Fs, Kogenate, Kogenate Fs",Antihemophilic Factor (Recombinant),<NA>,N/A,,Y,2009-07-31,NaT
103334,Rabavert,Rabies Vaccine,<NA>,N/A,,Y,1997-10-20,NaT
103352,Human Albumin Grifols,Albumin (Human),<NA>,N/A,,Y,1995-02-17,NaT
103352,Human Albumin Grifols,Albumin (Human),<NA>,N/A,,Y,2003-06-11,NaT
103375,"Bioclate (Armour), Recombinate",Antihemophilic Factor (Recombinant),<NA>,N/A,,Y,1992-12-10,NaT
103375,"Bioclate (Armour), Recombinate",Antihemophilic Factor (Recombinant),<NA>,N/A,,Y,2010-03-10,NaT
103397,<NA>,"Animal Allergens, Standardized Cat Hair",<NA>,N/A,,Y,2058-09-15,NaT
103473,<NA>,"Animal Allergens, Standardized Cat Hair",<NA>,N/A,,Y,2074-03-12,NaT
103475,Havrix,Hepatitis A Vaccine,<NA>,N/A,,Y,1995-02-22,NaT
103552,Varivax,Varicella Virus Vaccine Live,<NA>,N/A,,Y,1995-03-17,NaT
103552,Varivax,Varicella Virus Vaccine Live,<NA>,N/A,,Y,2023-02-27,NaT
103569,<NA>,Plague Vaccine,<NA>,N/A,,Y,1994-10-05,NaT
103606,Vaqta,Hepatitis A Vaccine Inactivated,<NA>,N/A,,Y,1996-03-29,NaT
103623,COMVAX,Haemophilus b Conjugate (Meningococcal Protein Conjugate) and Hepatitis B (Recombinant) Vaccine,<NA>,<NA>,,Y,1996-10-02,NaT
103647,Infanrix,Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed,<NA>,N/A,,Y,1997-01-29,NaT
