BLANumber,ProperName,ProprietaryName,Applicant,DosageForm,Route,Strength,ReferenceProductName,IsReferenceProductFlag,BLAApprovalDate
125197,sipuleucel-T,Provenge,Dendreon Pharmaceuticals LLC,Injection,Intravenous,50 M CD54 + ACTIVATED CELLS/250 ML,N/A,Y,2010-04-29
125384,Albumin (Human),Kedbumin,Kedrion Biopharma Inc.,Injection,Intravenous,12.5G/50ML,N/A,Y,2011-06-03
125384,Albumin (Human),Kedbumin,Kedrion Biopharma Inc.,Injection,Intravenous,25G/100ML,N/A,Y,2013-09-05
125822,"Immune Globulin Intravenous, Human-kthm, 10% Solution",QIVIGY,"Kedrion, S.p.A.",Solution,Intravenous,5G/50ML,<NA>,N,2025-09-26
125822,"Immune Globulin Intravenous, Human-kthm, 10% Solution",QIVIGY,"Kedrion, S.p.A.",Solution,Intravenous,10G/100ML,<NA>,N,2025-09-26
761439,denosumab-qbde,Enoby,Hikma Pharmaceuticals USA Inc.,Injection,Subcutaneous,60MG/ML,Prolia,N,2025-09-26
761439,denosumab-qbde,Xtrenbo,Hikma Pharmaceuticals USA Inc.,Injection,Subcutaneous,120MG/1.7ML (70MG/ML),Xgeva,N,2025-09-26
<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,N,NaT
17016,chorionic gonadotropin,Novarel,Ferring Pharmaceuticals Inc.,For Injection,Intramuscular,"20,000UNITS",N/A,Y,2074-01-15
17016,chorionic gonadotropin,Novarel,Ferring Pharmaceuticals Inc.,For Injection,Intramuscular,"5,000UNITS",N/A,Y,2074-01-15
17016,chorionic gonadotropin,Novarel,Ferring Pharmaceuticals Inc.,For Injection,Intramuscular,"10,000UNITS",N/A,Y,2074-01-15
17016,chorionic gonadotropin,Novarel,Ferring Pharmaceuticals Inc.,For Injection,Intramuscular,"2,000UNITS",N/A,Y,1984-12-27
17016,chorionic gonadotropin,Novarel,Ferring Pharmaceuticals Inc.,For Injection,Intramuscular,"15,000UNITS",N/A,Y,1985-02-15
17016,chorionic gonadotropin,Novarel,Ferring Pharmaceuticals Inc.,For Injection,Intramuscular,"2,000UNITS",N/A,Y,1990-02-16
17054,chorionic gonadotropin,Chorionic Gonadotropin,"Bel-Mar Laboratories, Inc.",Injection,Intramuscular,"5,000UNITS",N/A,Y,2074-03-26
17054,chorionic gonadotropin,Chorionic Gonadotropin,"Bel-Mar Laboratories, Inc.",Injection,Intramuscular,"10,000UNITS",N/A,Y,2074-03-26
17055,chorionic gonadotropin,A.P.L.,Ferring Pharmaceuticals Inc.,For Injection,Intramuscular,"5,000UNITS",N/A,Y,2074-12-13
17055,chorionic gonadotropin,A.P.L.,Ferring Pharmaceuticals Inc.,For Injection,Intramuscular,"10,000UNITS",N/A,Y,2074-12-13
17055,chorionic gonadotropin,A.P.L.,Ferring Pharmaceuticals Inc.,For Injection,Intramuscular,"20,000UNITS",N/A,Y,2074-12-13
17067,chorionic gonadotropin,Chorionic Gonadotropin,"Fresenius Kabi USA, LLC",For Injection,Intramuscular,"5,000UNITS",N/A,Y,2073-03-05
17067,chorionic gonadotropin,Chorionic Gonadotropin,"Fresenius Kabi USA, LLC",For Injection,Intramuscular,"10,000UNITS",N/A,Y,2073-03-05
17067,chorionic gonadotropin,Chorionic Gonadotropin,"Fresenius Kabi USA, LLC",For Injection,Intramuscular,"15,0000UNITS",N/A,Y,2073-03-05
17067,chorionic gonadotropin,Chorionic Gonadotropin,"Fresenius Kabi USA, LLC",For Injection,Intramuscular,"20,000UNITS",N/A,Y,2073-03-05
17646,menotropins,Pergonal,"EMD Serono, Inc.",For Injection,"Subcutaneous, Intramuscular",75IU,N/A,Y,1975-08-22
17646,menotropins,Pergonal,"EMD Serono, Inc.",For Injection,"Subcutaneous, Intramuscular",150IU,N/A,Y,1985-05-20
17692,chorionic gonadotropin,Pregnyl,"Organon USA LLC, a subsidiary of Organon & Co.",For Injection,Intramuscular,"10,000UNITS",N/A,Y,1976-10-20
