BLANumber,ReferenceProductName,ExclusivityType,ExclusivityEndDate,Notes
125197,,ExclusivityExpirationDate,NaT,
125197,,FirstInterchangeableExclusivityExpDate,NaT,
125197,,RefProductExclusivityExpDate,NaT,
125384,,ExclusivityExpirationDate,NaT,
125384,,FirstInterchangeableExclusivityExpDate,NaT,
125384,,RefProductExclusivityExpDate,NaT,
125822,<NA>,ExclusivityExpirationDate,NaT,
125822,<NA>,FirstInterchangeableExclusivityExpDate,NaT,
125822,<NA>,RefProductExclusivityExpDate,NaT,
761439,Prolia,ExclusivityExpirationDate,NaT,
761439,Prolia,FirstInterchangeableExclusivityExpDate,NaT,
761439,Prolia,RefProductExclusivityExpDate,NaT,
761439,Xgeva,ExclusivityExpirationDate,NaT,
761439,Xgeva,FirstInterchangeableExclusivityExpDate,NaT,
761439,Xgeva,RefProductExclusivityExpDate,NaT,
<NA>,<NA>,ExclusivityExpirationDate,NaT,
<NA>,<NA>,FirstInterchangeableExclusivityExpDate,NaT,
<NA>,<NA>,RefProductExclusivityExpDate,NaT,
17016,,ExclusivityExpirationDate,NaT,
17016,,FirstInterchangeableExclusivityExpDate,NaT,
17016,,RefProductExclusivityExpDate,NaT,
17054,,ExclusivityExpirationDate,NaT,
17054,,FirstInterchangeableExclusivityExpDate,NaT,
17054,,RefProductExclusivityExpDate,NaT,
17055,,ExclusivityExpirationDate,NaT,
17055,,FirstInterchangeableExclusivityExpDate,NaT,
17055,,RefProductExclusivityExpDate,NaT,
17067,,ExclusivityExpirationDate,NaT,
17067,,FirstInterchangeableExclusivityExpDate,NaT,
17067,,RefProductExclusivityExpDate,NaT,
17646,,ExclusivityExpirationDate,NaT,
17646,,FirstInterchangeableExclusivityExpDate,NaT,
17646,,RefProductExclusivityExpDate,NaT,
17692,,ExclusivityExpirationDate,NaT,
17692,,FirstInterchangeableExclusivityExpDate,NaT,
17692,,RefProductExclusivityExpDate,NaT,
17776,,ExclusivityExpirationDate,NaT,
17776,,FirstInterchangeableExclusivityExpDate,NaT,
17776,,RefProductExclusivityExpDate,NaT,
17833,,ExclusivityExpirationDate,NaT,
17833,,FirstInterchangeableExclusivityExpDate,NaT,
17833,,RefProductExclusivityExpDate,NaT,
17835,,ExclusivityExpirationDate,NaT,
17835,,FirstInterchangeableExclusivityExpDate,NaT,
17835,,RefProductExclusivityExpDate,NaT,
17836,,ExclusivityExpirationDate,NaT,
17836,,FirstInterchangeableExclusivityExpDate,NaT,
17836,,RefProductExclusivityExpDate,NaT,
17837,,ExclusivityExpirationDate,NaT,
17837,,FirstInterchangeableExclusivityExpDate,NaT,
17837,,RefProductExclusivityExpDate,NaT,
17881,,ExclusivityExpirationDate,NaT,
17881,,FirstInterchangeableExclusivityExpDate,NaT,
17881,,RefProductExclusivityExpDate,NaT,
18263,,ExclusivityExpirationDate,NaT,
18263,,FirstInterchangeableExclusivityExpDate,NaT,
18263,,RefProductExclusivityExpDate,NaT,
18663,,ExclusivityExpirationDate,NaT,
18663,,FirstInterchangeableExclusivityExpDate,NaT,
18663,,RefProductExclusivityExpDate,NaT,
18780,,ExclusivityExpirationDate,NaT,
18780,,FirstInterchangeableExclusivityExpDate,NaT,
18780,,RefProductExclusivityExpDate,NaT,
