ApplNo,ProductNo,TradeName,ActiveIngredient,Strength,DosageForm,Route,MarketingStatus,TECode,ReferenceListedDrugFlag,ReferenceStandardFlag,ApplicantName,ApplType,ApplStatus,FirstApprovalDate
215328,001,BUDESONIDE,BUDESONIDE,2MG/ACTUATION,"AEROSOL, FOAM",RECTAL,RX,AB,N,Y,PADAGIS ISRAEL PHARMACEUTICALS LTD,A,Active,2023-04-12
205613,001,UCERIS,BUDESONIDE,2MG/ACTUATION,"AEROSOL, FOAM",RECTAL,RX,AB,Y,N,SALIX PHARMACEUTICALS INC,N,Active,2014-10-07
212379,001,AMZEEQ,MINOCYCLINE HYDROCHLORIDE,EQ 4% BASE,"AEROSOL, FOAM",TOPICAL,RX,,Y,Y,JOURNEY MEDICAL CORP,N,Active,2019-10-18
210928,001,AZELAIC ACID,AZELAIC ACID,15%,"AEROSOL, FOAM",TOPICAL,DISCN,,N,N,TEVA PHARMACEUTICALS USA INC,A,Discontinued,2020-10-07
215832,001,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,0.12%,"AEROSOL, FOAM",TOPICAL,RX,AB,N,N,ALEMBIC PHARMACEUTICALS LTD,A,Active,2024-08-22
207144,001,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,0.12%,"AEROSOL, FOAM",TOPICAL,DISCN,,N,N,NOVAST LABORATORIES LTD,A,Discontinued,2017-05-24
078337,001,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,0.12%,"AEROSOL, FOAM",TOPICAL,RX,AB,N,N,PADAGIS ISRAEL PHARMACEUTICALS LTD,A,Active,2012-11-26
208204,001,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,0.12%,"AEROSOL, FOAM",TOPICAL,RX,AB,N,Y,TARO PHARMACEUTICAL INDUSTRIES LTD,A,Active,2017-05-24
210639,001,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,0.12%,"AEROSOL, FOAM",TOPICAL,RX,AB,N,N,XIROMED PHARMA ESPANA SL,A,Active,2023-04-18
214688,001,CALCIPOTRIENE AND BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,0.064%;0.005%,"AEROSOL, FOAM",TOPICAL,DISCN,,N,N,GLENMARK PHARMACEUTICALS LTD,A,Discontinued,2023-03-21
210778,001,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,1%,"AEROSOL, FOAM",TOPICAL,RX,AT,N,N,GLENMARK PHARMACEUTICALS LTD,A,Active,2021-09-20
090785,001,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,1%,"AEROSOL, FOAM",TOPICAL,RX,AT,N,Y,PADAGIS ISRAEL PHARMACEUTICALS LTD,A,Active,2010-03-31
210004,001,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,1%,"AEROSOL, FOAM",TOPICAL,RX,AT,N,N,TARO PHARMACEUTICAL INDUSTRIES LTD,A,Active,2020-03-11
215838,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,RX,AB1,N,N,ALEMBIC PHARMACEUTICALS LTD,A,Active,2022-04-21
210809,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,RX,AB1,N,N,GLENMARK PHARMACEUTICALS LTD,A,Active,2019-02-15
211450,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,RX,AB2,N,N,GLENMARK PHARMACEUTICALS LTD,A,Active,2019-09-09
206805,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,DISCN,,N,N,NOVAST LABORATORIES INC,A,Discontinued,2017-07-31
077763,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,RX,AB1,N,N,PADAGIS ISRAEL PHARMACEUTICALS LTD,A,Active,2008-03-10
201402,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,RX,AB2,N,Y,PADAGIS ISRAEL PHARMACEUTICALS LTD,A,Active,2012-08-14
208563,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,RX,AB2,N,N,TARO PHARMACEUTICAL INDUSTRIES LTD,A,Active,2024-03-14
208779,001,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,RX,AB1,N,Y,TARO PHARMACEUTICAL INDUSTRIES LTD,A,Active,2018-10-04
205175,001,ECOZA,ECONAZOLE NITRATE,1%,"AEROSOL, FOAM",TOPICAL,RX,,Y,Y,RESILIA PHARMACEUTICALS INC,N,Active,2013-10-24
207589,001,ENSTILAR,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,0.064%;0.005%,"AEROSOL, FOAM",TOPICAL,RX,,Y,Y,LEO PHARMA AS,N,Active,2015-10-16
050801,001,EVOCLIN,CLINDAMYCIN PHOSPHATE,1% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,"AEROSOL, FOAM",TOPICAL,DISCN,,Y,N,NORVIUM BIOSCIENCE LLC,N,Discontinued,2004-10-22
021738,001,EXTINA,KETOCONAZOLE,2% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,"AEROSOL, FOAM",TOPICAL,DISCN,,Y,N,NORVIUM BIOSCIENCE LLC,N,Discontinued,2007-06-12
202428,001,FABIOR,TAZAROTENE,0.1%,"AEROSOL, FOAM",TOPICAL,RX,,Y,Y,MAYNE PHARMA LLC,N,Active,2012-05-11
207071,001,FINACEA,AZELAIC ACID,15%,"AEROSOL, FOAM",TOPICAL,RX,,Y,Y,LEO PHARMA AS,N,Active,2015-07-29
215266,001,HALOBETASOL PROPIONATE,HALOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,RX,AB,N,N,PADAGIS ISRAEL PHARMACEUTICALS LTD,A,Active,2023-08-11
091550,001,KETOCONAZOLE,KETOCONAZOLE,2%,"AEROSOL, FOAM",TOPICAL,RX,AB,N,N,PADAGIS ISRAEL PHARMACEUTICALS LTD,A,Active,2011-08-25
213601,001,KETOCONAZOLE,KETOCONAZOLE,2%,"AEROSOL, FOAM",TOPICAL,RX,AB,N,Y,XIROMED PHARMA ESPANA SL,A,Active,2021-05-21
210566,001,LEXETTE,HALOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,RX,AB,Y,Y,MAYNE PHARMA LLC,N,Active,2018-05-24
020934,001,LUXIQ,BETAMETHASONE VALERATE,0.12% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,"AEROSOL, FOAM",TOPICAL,DISCN,,Y,N,PHARMOBEDIENT CONSULTING LLC,N,Discontinued,1999-02-28
021812,001,MEN'S ROGAINE,MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,OTC,,Y,Y,KENVUE BRANDS LLC,N,Active,2006-01-20
091344,001,MINOXIDIL,MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,OTC,,N,N,PERRIGO PHARMA INTERNATIONAL DAC,A,Active,2011-04-28
218616,001,MINOXIDIL (FOR MEN),MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,OTC,,N,N,AUROBINDO PHARMA LTD,A,Active,2024-04-22
208092,001,MINOXIDIL (FOR MEN),MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,OTC,,N,N,P AND L DEVELOPMENT LLC,A,Active,2017-02-17
209074,001,MINOXIDIL (FOR MEN),MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,OTC,,N,N,TARO PHARMACEUTICAL INDUSTRIES LTD,A,Active,2018-12-31
218616,002,MINOXIDIL (FOR WOMEN),MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,OTC,,N,N,AUROBINDO PHARMA LTD,A,Active,2024-04-22
208092,002,MINOXIDIL (FOR WOMEN),MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,OTC,,N,N,P AND L DEVELOPMENT LLC,A,Active,2017-02-17
209074,002,MINOXIDIL (FOR WOMEN),MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,OTC,,N,N,TARO PHARMACEUTICAL INDUSTRIES LTD,A,Active,2018-12-31
021142,001,OLUX,CLOBETASOL PROPIONATE,0.05%,"AEROSOL, FOAM",TOPICAL,DISCN,,Y,N,PHARMOBEDIENT CONSULTING LLC,N,Discontinued,2000-05-26
022013,001,OLUX E,CLOBETASOL PROPIONATE,0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,"AEROSOL, FOAM",TOPICAL,DISCN,,Y,N,PHARMOBEDIENT CONSULTING LLC,N,Discontinued,2007-01-12
022563,001,SORILUX,CALCIPOTRIENE,0.005%,"AEROSOL, FOAM",TOPICAL,RX,,Y,Y,MAYNE PHARMA LLC,N,Active,2010-10-06
021978,001,VERDESO,DESONIDE,0.05%,"AEROSOL, FOAM",TOPICAL,DISCN,,Y,N,ALMIRALL LLC,N,Discontinued,2006-09-19
021812,002,WOMEN'S ROGAINE,MINOXIDIL,5%,"AEROSOL, FOAM",TOPICAL,OTC,,Y,Y,KENVUE BRANDS LLC,N,Active,2006-01-20
213690,001,ZILXI,MINOCYCLINE HYDROCHLORIDE,EQ 1.5% BASE,"AEROSOL, FOAM",TOPICAL,RX,,Y,Y,JOURNEY MEDICAL CORP,N,Active,2020-05-28
021254,001,ADVAIR HFA,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,0.045MG/INH;EQ 0.021MG BASE/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,GLAXO GROUP LTD ENGLAND DBA GLAXOSMITHKLINE,N,Active,2006-06-08
021254,002,ADVAIR HFA,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,0.115MG/INH;EQ 0.021MG BASE/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,GLAXO GROUP LTD ENGLAND DBA GLAXOSMITHKLINE,N,Active,2006-06-08
021254,003,ADVAIR HFA,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,0.23MG/INH;EQ 0.021MG BASE/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,GLAXO GROUP LTD ENGLAND DBA GLAXOSMITHKLINE,N,Active,2006-06-08
018340,001,AEROBID,FLUNISOLIDE,0.25MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,ROCHE PALO ALTO LLC,N,Discontinued,1984-08-17
021247,001,AEROSPAN HFA,FLUNISOLIDE,0.078MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,Y,N,PHARMOBEDIENT CONSULTING LLC,N,Discontinued,2006-01-27
214070,001,AIRSUPRA,ALBUTEROL SULFATE; BUDESONIDE,EQ 0.09MG BASE/INH;0.08MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,ASTRAZENECA PHARMACEUTICALS LP,N,Active,2023-01-10
072273,001,ALBUTEROL,ALBUTEROL,0.09MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,ARMSTRONG PHARMACEUTICALS INC,A,Discontinued,1996-08-14
073045,001,ALBUTEROL,ALBUTEROL,0.09MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,GENPHARM INC,A,Discontinued,1997-08-19
073272,001,ALBUTEROL,ALBUTEROL,0.09MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA,A,Discontinued,1995-12-28
074072,001,ALBUTEROL,ALBUTEROL,0.09MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,PLIVA INC,A,Discontinued,1996-08-01
212447,001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,RX,AB2,N,N,ARMSTRONG PHARMACEUTICALS INC,A,Active,2024-05-21
209959,001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,RX,AB1,N,N,CIPLA LTD,A,Active,2020-04-08
209954,001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,RX,AB2,N,N,LUPIN INC,A,Active,2020-08-24
203760,001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,RX,AB2,N,N,PADAGIS US LLC,A,Active,2020-02-24
207085,001,ALBUTEROL SULFATE,ALBUTEROL SULFATE,EQ 0.09MG BASE/INH,"AEROSOL, METERED",INHALATION,RX,AB1,N,N,SANDOZ INC,A,Active,2021-06-01
016402,001,ALUPENT,METAPROTERENOL SULFATE,0.65MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,N,Discontinued,1982-01-01
021658,002,ALVESCO,CICLESONIDE,0.08MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,COVIS PHARMA GMBH,N,Active,2008-01-10
021658,003,ALVESCO,CICLESONIDE,0.16MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,COVIS PHARMA GMBH,N,Active,2008-01-10
205641,003,ASMANEX HFA,MOMETASONE FUROATE,0.05MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,ORGANON LLC,N,Active,2014-04-25
205641,001,ASMANEX HFA,MOMETASONE FUROATE,0.10MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,ORGANON LLC,N,Active,2014-04-25
205641,002,ASMANEX HFA,MOMETASONE FUROATE,0.20MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,ORGANON LLC,N,Active,2014-04-25
020056,001,ATROPINE SULFATE,ATROPINE SULFATE,EQ 0.36MG BASE/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,UNITED STATES ARMY OFFICE SURGEON GENERAL,N,Discontinued,1990-09-19
019085,001,ATROVENT,IPRATROPIUM BROMIDE,0.018MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,N,Discontinued,1986-12-29
021527,001,ATROVENT HFA,IPRATROPIUM BROMIDE,0.021MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,N,Active,2004-11-27
018117,001,AZMACORT,TRIAMCINOLONE ACETONIDE,0.1MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,ABBVIE INC,N,Discontinued,1982-04-23
018153,001,BECLOVENT,BECLOMETHASONE DIPROPIONATE,0.042MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,GLAXOSMITHKLINE,N,Discontinued,1982-01-01
208294,001,BEVESPI AEROSPHERE,FORMOTEROL FUMARATE; GLYCOPYRROLATE,0.0048MG/INH;0.0090MG/INH,"AEROSOL, METERED",INHALATION,RX,,Y,Y,ASTRAZENECA PHARMACEUTICALS LP,N,Active,2016-04-25
018762,001,BRETHAIRE,TERBUTALINE SULFATE,0.2MG/INH,"AEROSOL, METERED",INHALATION,DISCN,,N,N,NOVARTIS PHARMACEUTICALS CORP,N,Discontinued,1984-08-17
211699,001,BREYNA,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,0.08MG/INH;0.0045MG/INH,"AEROSOL, METERED",INHALATION,RX,AB,N,N,MYLAN PHARMACEUTICALS INC,A,Active,2022-03-15
211699,002,BREYNA,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,0.16MG/INH;0.0045MG/INH,"AEROSOL, METERED",INHALATION,RX,AB,N,N,MYLAN PHARMACEUTICALS INC,A,Active,2022-03-15
