BLANumber,BiosimilarProprietaryName,BiosimilarProperName,ReferenceProductName,InterchangeabilityFlag,LicensureDate
761439,Enoby,denosumab-qbde,Prolia,N,2025-09-26
761439,Xtrenbo,denosumab-qbde,Xgeva,N,2025-09-26
125544,Inflectra,infliximab-dyyb,Remicade,N,2016-04-05
125545,Retacrit,epoetin alfa-epbx,Procrit,N,2018-05-15
125545,Retacrit,epoetin alfa-epbx,Procrit,N,2020-06-30
125553,Zarxio,filgrastim-sndz,Neupogen,N,2015-03-06
125553,Zarxio,filgrastim-sndz,Neupogen,N,2024-08-09
761024,Amjevita,adalimumab-atto,Humira,N,2016-09-23
761024,Amjevita,adalimumab-atto,Humira,N,2023-04-06
761024,Amjevita,adalimumab-atto,Humira,N,2023-08-14
761028,Mvasi,bevacizumab-awwb,Avastin,N,2017-09-14
761039,Udenyca,pegfilgrastim-cbqv,Neulasta,N,2018-11-02
761039,Udenyca,pegfilgrastim-cbqv,Neulasta,N,2023-03-03
761039,Udenyca Onbody,pegfilgrastim-cbqv,Neulasta,N,2023-12-22
761042,Erelzi,etanercept-szzs,Enbrel,N,2016-08-30
761042,Erelzi Sensoready,etanercept-szzs,Enbrel,N,2016-08-30
761042,Erelzi,etanercept-szzs,Enbrel,N,2022-11-10
761045,Ziextenzo,pegfilgrastim-bmez,Neulasta,N,2019-11-04
761054,Renflexis,infliximab-abda,Remicade,N,2017-04-21
761058,Cyltezo,adalimumab-adbm,Humira,Y,2017-08-25
761058,Cyltezo,adalimumab-adbm,Humira,Y,2018-07-13
761058,Cyltezo,adalimumab-adbm,Humira,Y,2022-03-18
761058,Cyltezo,adalimumab-adbm,Humira,Y,2023-05-18
761058,Cyltezo,adalimumab-adbm,Humira,N,2024-04-30
761059,Hadlima,adalimumab-bwwd,Humira,N,2019-07-23
761059,Hadlima,adalimumab-bwwd,Humira,N,2022-06-17
761059,Hadlima,adalimumab-bwwd,Humira,N,2022-08-15
761066,Eticovo,etanercept-ykro,Enbrel,Y,2019-04-25
761066,Eticovo,etanercept-ykro,Enbrel,N,2024-05-03
761071,Hyrimoz,adalimumab-adaz,Humira,N,2018-10-30
761071,Hyrimoz,adalimumab-adaz,Humira,N,2022-03-28
761071,Hyrimoz,adalimumab-adaz,Humira,N,2023-03-20
761071,Hyrimoz,adalimumab-adaz,Humira,Y,2023-03-20
761072,Ixifi,infliximab-qbtx,Remicade,N,2017-12-13
761073,Kanjinti,trastuzumab-anns,Herceptin,N,2019-06-13
761073,Kanjinti,trastuzumab-anns,Herceptin,N,2019-10-25
761074,Ogivri,trastuzumab-dkst,Herceptin,N,2017-12-01
761074,Ogivri,trastuzumab-dkst,Herceptin,N,2019-04-17
761075,Fulphila,pegfilgrastim-jmdb,Neulasta,N,2018-06-04
761080,Nivestym,filgrastim-aafi,Neupogen,N,2018-07-20
761081,Trazimera,trastuzumab-qyyp,Herceptin,N,2019-03-11
761081,Trazimera,trastuzumab-qyyp,Herceptin,N,2020-11-30
761082,Releuko,filgrastim-ayow,Neupogen,N,2022-02-25
761084,Fylnetra,pegfilgrastim-pbbk,Neulasta,N,2022-05-26
761086,Avsola,infliximab-axxq,Remicade,N,2019-12-06
761088,Truxima,rituximab-abbs,Rituxan,N,2018-11-28
761091,Herzuma,trastuzumab-pkrb,Herceptin,N,2018-12-14
761091,Herzuma,trastuzumab-pkrb,Herceptin,N,2019-05-16
761099,Zirabev,bevacizumab-bvzr,Avastin,N,2019-06-27
761100,Ontruzant,trastuzumab-dttb,Herceptin,N,2019-01-18
761100,Ontruzant,trastuzumab-dttb,Herceptin,N,2020-03-20
761103,Ruxience,rituximab-pvvr,Rituxan,N,2019-07-23
761111,Nyvepria,pegfilgrastim-apgf,Neulasta,N,2020-06-10
761118,Abrilada,adalimumab-afzb,Humira,N,2019-11-15
761126,Nypozi,filgrastim-txid,Neupogen,N,2024-06-28
761140,Riabni,rituximab-arrx,Rituxan,N,2020-12-17
761154,Hulio,adalimumab-fkjp,Humira,N,2020-07-06
761165,Cimerli,ranibizumab-eqrn,Lucentis,Y,2022-08-02
761173,Stimufend,pegfilgrastim-fpgk,Neulasta,N,2022-09-01
761175,Jobevne,bevacizumab-nwgd,Avastin,N,2025-04-09
761188,Kirsty,insulin aspart-xjhz,Novolog,Y,2025-07-15
761198,Avzivi,bevacizumab-tnjn,Avastin,N,2023-12-06
761201,Semglee,insulin glargine-yfgn,Lantus,Y,2021-07-28
761202,Byooviz,ranibizumab-nuna,Lucentis,N,2021-09-17
761215,Rezvoglar,insulin glargine-aglr,Lantus,N,2021-12-17
761216,Yusimry,adalimumab-aqvh,Humira,N,2021-12-17
761216,Yusimry,adalimumab-aqvh,Humira,N,2023-02-27
761219,Yuflyma,adalimumab-aaty,Humira,N,2023-05-23
761219,Yuflyma,adalimumab-aaty,Humira,N,2023-09-29
761231,Alymsys,bevacizumab-maly,Avastin,N,2022-04-13
761255,Idacio,adalimumab-aacf,Humira,N,2022-12-13
761255,Idacio,adalimumab-aacf,Humira,N,2024-01-05
761268,Vegzelma,bevacizumab-adcd,Avastin,N,2022-09-27
761274,Yesafili,aflibercept-jbvf,Eylea,Y,2024-05-20
761275,Tyenne,tocilizumab-aazg,Actemra,N,2024-03-05
761285,Wezlana,ustekinumab-auub,Stelara,Y,2023-10-31
761285,Wezlana,ustekinumab-auub,Stelara,N,2024-12-26
761298,Pavblu,aflibercept-ayyh,Eylea,N,2024-08-23
761299,Simlandi,adalimumab-ryvk,Humira,Y,2024-02-23
761299,Simlandi,adalimumab-ryvk,Humira,Y,2024-06-26
761299,Simlandi,adalimumab-ryvk,Humira,N,2024-06-26
761299,Simlandi,adalimumab-ryvk,Humira,N,2025-02-14
761322,Tyruko,natalizumab-sztn,Tysabri,N,2023-08-24
761325,Merilog,insulin aspart-szjj,Novolog,N,2025-02-14
761331,Wezlana,ustekinumab-auub,Stelara,Y,2023-10-31
761333,Bkemv,eculizumab-aeeb,Soliris,Y,2024-05-28
761338,Steqeyma,ustekinumab-stba,Stelara,N,2024-12-17
761338,Steqeyma,ustekinumab-stba,Stelara,N,2025-06-12
761340,Epysqli,eculizumab-aagh,Soliris,N,2024-07-19
761343,Selarsdi,ustekinumab-aekn,Stelara,N,2024-04-16
761343,Selarsdi,ustekinumab-aekn,Stelara,N,2024-10-18
761343,Selarsdi,ustekinumab-aekn,Stelara,N,2025-02-12
761346,Hercessi,trastuzumab-strf,Herceptin,N,2024-04-25
761346,Hercessi,trastuzumab-strf,Herceptin,N,2024-09-06
761350,Opuviz,aflibercept-yszy,Eylea,Y,2024-05-20
761354,Tofidence,tocilizumab-bavi,Actemra,N,2023-09-29
761362,Jubbonti,denosumab-bbdz,Prolia,Y,2024-03-05
761362,Wyost,denosumab-bbdz,Xgeva,Y,2024-03-05
761364,Imuldosa,ustekinumab-srlf,Stelara,N,2024-10-10
761373,Pyzchiva,ustekinumab-ttwe,Stelara,N,2024-06-28
761373,Pyzchiva,ustekinumab-ttwe,Stelara,N,2024-12-20
761373,Pyzchiva,ustekinumab-ttwe,Stelara,N,2025-06-27
761378,Ahzantive,aflibercept-mrbb,Eylea,N,2024-06-28
761379,Otulfi,ustekinumab-aauz,Stelara,N,2024-09-27
761379,Otulfi,ustekinumab-aauz,Stelara,N,2025-03-21
761382,Enzeevu,aflibercept-abzv,Eylea,N,2024-08-09
761392,Ospomyv,denosumab-dssb,Prolia,N,2025-02-13
761392,Xbryk,denosumab-dssb,Xgeva,N,2025-02-13
761398,Conexxence,denosumab-bnht,Prolia,N,2025-03-25
761398,Bomyntra,denosumab-bnht,Xgeva,N,2025-03-25
761399,Omlyclo,omalizumab-igec,Xolair,Y,2025-03-07
761404,Stoboclo,denosumab-bmwo,Prolia,N,2025-02-28
761404,Osenvelt,denosumab-bmwo,Xgeva,N,2025-02-28
761406,Yesintek,ustekinumab-kfce,Stelara,N,2024-11-29
761419,Starjemza,ustekinumab-hmny,Stelara,N,2025-05-22
761420,Avtozma,tocilizumab-anoh,Actemra,Y,2025-01-24
761420,Avtozma,tocilizumab-anoh,Actemra,N,2025-01-24
761425,Pyzchiva,ustekinumab-ttwe,Stelara,N,2024-06-28
761436,Bosaya,denosumab-kyqq,Prolia,N,2025-09-16
761436,Aukelso,denosumab-kyqq,Xgeva,N,2025-09-16
761444,Bildyos,denosumab-nxxp,Prolia,N,2025-08-29
761444,Bilprevda,denosumab-nxxp,Xgeva,N,2025-08-29
761449,Tyenne,tocilizumab-aazg,Actemra,N,2025-03-14
